W_PCT,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0.569,0.539,0.278,0.133,0.284,0.53,0.237,0.124,0.258
0.5,0.543,0.234,0.141,0.289,0.539,0.273,0.142,0.263
0.306,0.508,0.261,0.157,0.28,0.556,0.235,0.145,0.271
0.431,0.537,0.293,0.144,0.302,0.55,0.236,0.132,0.245
0.431,0.547,0.197,0.151,0.267,0.538,0.253,0.127,0.233
0.583,0.55,0.242,0.123,0.253,0.534,0.259,0.129,0.266
0.653,0.557,0.219,0.136,0.292,0.545,0.258,0.143,0.249
0.542,0.551,0.239,0.146,0.222,0.522,0.286,0.146,0.273
0.236,0.521,0.252,0.145,0.24,0.555,0.256,0.144,0.277
0.653,0.564,0.222,0.135,0.27,0.531,0.239,0.132,0.246
0.583,0.536,0.271,0.152,0.269,0.526,0.237,0.152,0.252
0.556,0.546,0.252,0.144,0.24,0.542,0.234,0.154,0.267
0.639,0.566,0.233,0.134,0.269,0.536,0.202,0.127,0.245
0.319,0.52,0.254,0.139,0.271,0.556,0.264,0.149,0.283
0.667,0.575,0.258,0.134,0.252,0.531,0.241,0.125,0.274
0.569,0.524,0.242,0.133,0.264,0.509,0.257,0.131,0.262
0.292,0.49,0.24,0.129,0.252,0.547,0.215,0.128,0.256
0.472,0.542,0.227,0.131,0.247,0.531,0.258,0.144,0.299
0.681,0.541,0.293,0.143,0.277,0.521,0.262,0.154,0.263
0.708,0.564,0.212,0.126,0.248,0.534,0.25,0.137,0.259
0.583,0.54,0.238,0.112,0.273,0.546,0.258,0.125,0.269
0.431,0.549,0.248,0.133,0.253,0.557,0.253,0.136,0.287
0.458,0.517,0.243,0.113,0.243,0.541,0.23,0.131,0.267
0.306,0.509,0.242,0.158,0.254,0.547,0.216,0.128,0.258
0.375,0.529,0.241,0.133,0.256,0.543,0.293,0.162,0.284
0.722,0.563,0.244,0.142,0.284,0.507,0.207,0.115,0.243
0.528,0.528,0.232,0.131,0.285,0.535,0.249,0.146,0.264
0.472,0.531,0.288,0.137,0.25,0.539,0.277,0.139,0.264
0.278,0.519,0.273,0.151,0.267,0.541,0.257,0.141,0.275
0.458,0.532,0.238,0.149,0.276,0.55,0.219,0.148,0.278
