W_PCT,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0.354,0.522,0.255,0.162,0.284,0.541,0.313,0.143,0.282
0.598,0.534,0.215,0.127,0.257,0.514,0.259,0.15,0.272
0.232,0.503,0.236,0.138,0.282,0.564,0.235,0.128,0.268
0.402,0.529,0.254,0.142,0.285,0.532,0.253,0.13,0.271
0.268,0.505,0.235,0.141,0.242,0.541,0.247,0.133,0.273
0.402,0.519,0.291,0.142,0.273,0.522,0.246,0.13,0.266
0.659,0.527,0.232,0.136,0.308,0.521,0.257,0.137,0.256
0.695,0.565,0.227,0.139,0.257,0.508,0.266,0.132,0.273
0.646,0.542,0.279,0.135,0.269,0.525,0.274,0.152,0.3
0.585,0.529,0.326,0.141,0.263,0.514,0.288,0.127,0.278
0.451,0.527,0.257,0.15,0.27,0.516,0.245,0.137,0.275
0.476,0.515,0.247,0.149,0.291,0.51,0.262,0.143,0.269
0.732,0.55,0.255,0.133,0.25,0.503,0.221,0.128,0.243
0.439,0.511,0.267,0.129,0.292,0.538,0.247,0.145,0.291
0.512,0.52,0.284,0.146,0.282,0.512,0.247,0.131,0.28
0.207,0.49,0.27,0.14,0.264,0.533,0.265,0.131,0.283
0.512,0.518,0.216,0.133,0.259,0.515,0.239,0.131,0.246
0.585,0.53,0.242,0.139,0.269,0.516,0.243,0.158,0.278
0.622,0.532,0.312,0.144,0.278,0.512,0.268,0.123,0.259
0.232,0.514,0.259,0.153,0.247,0.545,0.313,0.153,0.317
0.646,0.528,0.258,0.137,0.308,0.516,0.253,0.123,0.261
0.476,0.524,0.244,0.128,0.268,0.533,0.269,0.153,0.287
0.585,0.534,0.237,0.122,0.246,0.528,0.225,0.122,0.256
0.598,0.514,0.266,0.134,0.298,0.523,0.271,0.16,0.262
0.707,0.543,0.247,0.138,0.265,0.509,0.249,0.147,0.274
0.61,0.538,0.295,0.149,0.275,0.507,0.251,0.137,0.241
0.402,0.508,0.272,0.143,0.247,0.521,0.296,0.155,0.276
0.39,0.531,0.266,0.136,0.252,0.546,0.255,0.152,0.294
0.5,0.509,0.262,0.14,0.291,0.526,0.279,0.142,0.255
0.476,0.514,0.257,0.122,0.268,0.538,0.227,0.135,0.269
0.299,0.515,0.258,0.155,0.267,0.543,0.303,0.143,0.292
0.667,0.531,0.259,0.137,0.283,0.509,0.281,0.151,0.269
0.292,0.522,0.227,0.165,0.296,0.56,0.214,0.13,0.262
0.417,0.539,0.256,0.156,0.287,0.532,0.268,0.139,0.271
0.338,0.515,0.231,0.153,0.267,0.546,0.315,0.181,0.281
0.573,0.545,0.264,0.126,0.275,0.525,0.23,0.119,0.26
0.63,0.535,0.235,0.139,0.294,0.533,0.26,0.144,0.275
0.231,0.497,0.264,0.146,0.255,0.553,0.247,0.154,0.278
0.611,0.537,0.288,0.14,0.249,0.529,0.259,0.154,0.287
0.681,0.535,0.295,0.142,0.278,0.506,0.272,0.137,0.263
0.732,0.542,0.276,0.149,0.283,0.515,0.263,0.157,0.263
0.603,0.547,0.299,0.149,0.257,0.523,0.272,0.14,0.247
0.767,0.552,0.271,0.142,0.241,0.489,0.226,0.133,0.225
0.297,0.514,0.277,0.146,0.264,0.541,0.279,0.147,0.269
0.486,0.52,0.267,0.148,0.28,0.511,0.243,0.124,0.264
0.318,0.501,0.263,0.143,0.3,0.541,0.299,0.138,0.258
0.452,0.506,0.256,0.129,0.267,0.535,0.228,0.147,0.251
0.616,0.534,0.216,0.132,0.243,0.511,0.244,0.147,0.282
0.589,0.534,0.255,0.142,0.281,0.523,0.285,0.138,0.247
0.466,0.532,0.271,0.145,0.261,0.539,0.28,0.152,0.266
0.473,0.533,0.242,0.126,0.266,0.53,0.27,0.127,0.288
0.431,0.534,0.23,0.144,0.258,0.543,0.285,0.151,0.264
0.451,0.531,0.262,0.123,0.233,0.542,0.249,0.129,0.249
0.611,0.53,0.29,0.137,0.241,0.518,0.218,0.142,0.272
0.736,0.536,0.264,0.146,0.256,0.502,0.263,0.165,0.279
0.611,0.549,0.268,0.152,0.261,0.518,0.241,0.124,0.254
0.466,0.528,0.24,0.147,0.271,0.521,0.277,0.143,0.267
0.347,0.523,0.27,0.136,0.262,0.558,0.297,0.156,0.288
0.303,0.529,0.261,0.155,0.277,0.541,0.239,0.142,0.283
0.354,0.504,0.252,0.15,0.28,0.546,0.21,0.148,0.294
0.293,0.512,0.236,0.157,0.263,0.536,0.237,0.153,0.281
0.671,0.518,0.243,0.144,0.263,0.495,0.251,0.145,0.261
0.61,0.547,0.275,0.139,0.243,0.54,0.219,0.136,0.27
0.585,0.541,0.237,0.145,0.24,0.513,0.223,0.141,0.274
0.329,0.497,0.216,0.141,0.256,0.542,0.233,0.136,0.233
0.293,0.513,0.217,0.127,0.224,0.532,0.255,0.141,0.251
0.561,0.536,0.258,0.151,0.3,0.539,0.235,0.14,0.264
0.707,0.569,0.239,0.153,0.243,0.504,0.245,0.142,0.288
0.793,0.551,0.298,0.141,0.254,0.521,0.229,0.148,0.25
0.512,0.527,0.299,0.147,0.284,0.52,0.259,0.141,0.282
0.427,0.517,0.264,0.155,0.279,0.514,0.25,0.14,0.271
0.537,0.52,0.229,0.148,0.261,0.507,0.274,0.145,0.259
0.537,0.531,0.281,0.142,0.244,0.528,0.281,0.159,0.291
0.573,0.523,0.28,0.128,0.289,0.539,0.242,0.155,0.28
0.341,0.514,0.26,0.151,0.251,0.517,0.262,0.123,0.269
0.354,0.51,0.216,0.15,0.289,0.522,0.269,0.135,0.273
0.305,0.512,0.238,0.147,0.248,0.525,0.243,0.144,0.286
0.585,0.525,0.222,0.136,0.271,0.527,0.23,0.16,0.279
0.634,0.535,0.263,0.163,0.286,0.492,0.293,0.141,0.264
0.256,0.495,0.275,0.155,0.271,0.533,0.277,0.132,0.276
0.598,0.511,0.24,0.139,0.279,0.503,0.256,0.13,0.254
0.329,0.502,0.194,0.143,0.264,0.542,0.26,0.149,0.269
0.573,0.507,0.245,0.137,0.277,0.507,0.224,0.147,0.259
0.585,0.514,0.275,0.143,0.32,0.525,0.252,0.163,0.275
0.72,0.539,0.25,0.135,0.274,0.501,0.277,0.145,0.275
0.585,0.527,0.26,0.152,0.256,0.506,0.247,0.154,0.244
0.268,0.5,0.255,0.156,0.276,0.529,0.333,0.154,0.279
0.524,0.525,0.254,0.148,0.274,0.522,0.279,0.151,0.268
0.476,0.512,0.227,0.138,0.269,0.524,0.222,0.152,0.26
0.439,0.508,0.312,0.128,0.271,0.532,0.208,0.137,0.237
0.524,0.504,0.295,0.16,0.282,0.507,0.232,0.156,0.283
0.646,0.525,0.273,0.136,0.259,0.503,0.29,0.143,0.295
0.622,0.547,0.275,0.14,0.264,0.516,0.226,0.129,0.278
0.415,0.504,0.256,0.129,0.228,0.509,0.232,0.14,0.272
0.5,0.487,0.259,0.14,0.311,0.507,0.219,0.139,0.267
0.402,0.505,0.225,0.127,0.216,0.529,0.282,0.16,0.267
0.488,0.53,0.276,0.15,0.314,0.532,0.248,0.12,0.247
0.817,0.563,0.259,0.146,0.272,0.486,0.261,0.154,0.291
0.671,0.545,0.304,0.15,0.281,0.519,0.25,0.149,0.283
0.622,0.537,0.312,0.133,0.256,0.506,0.274,0.136,0.267
0.317,0.501,0.259,0.153,0.284,0.542,0.279,0.146,0.283
0.5,0.512,0.251,0.14,0.284,0.496,0.281,0.142,0.282
0.512,0.527,0.274,0.146,0.26,0.518,0.279,0.154,0.294
0.378,0.511,0.287,0.146,0.309,0.535,0.275,0.148,0.29
0.244,0.507,0.289,0.162,0.241,0.513,0.275,0.13,0.284
0.378,0.496,0.239,0.143,0.305,0.511,0.278,0.133,0.302
0.354,0.489,0.246,0.137,0.267,0.523,0.263,0.134,0.274
0.512,0.516,0.261,0.141,0.255,0.512,0.286,0.153,0.287
0.341,0.501,0.258,0.167,0.273,0.512,0.303,0.151,0.291
0.293,0.493,0.297,0.152,0.299,0.525,0.338,0.146,0.282
0.5,0.52,0.275,0.139,0.269,0.508,0.307,0.13,0.28
0.39,0.516,0.284,0.152,0.258,0.528,0.291,0.145,0.277
0.744,0.524,0.263,0.141,0.282,0.492,0.249,0.151,0.27
0.573,0.5,0.295,0.152,0.323,0.511,0.285,0.139,0.258
0.622,0.517,0.293,0.132,0.291,0.507,0.286,0.153,0.283
0.622,0.526,0.288,0.148,0.27,0.493,0.253,0.131,0.257
0.524,0.491,0.28,0.137,0.295,0.506,0.341,0.152,0.269
0.598,0.528,0.254,0.143,0.286,0.524,0.284,0.155,0.284
0.451,0.492,0.218,0.123,0.286,0.516,0.253,0.133,0.225
0.439,0.501,0.279,0.119,0.247,0.523,0.211,0.135,0.251
