W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS
0.354,41.4,91.8,0.451,13.0,37.0,0.352,17.6,23.4,0.752,11.6,34.5,46.1,25.8,17.0,8.2,5.1,5.5,23.6,22.2,113.3,42.8,90.5,0.473,12.4,34.4,0.359,21.5,28.3,0.758,10.6,35.4,46.0,26.9,15.0,9.9,5.5,5.1,22.2,23.6,119.4
0.598,42.1,90.5,0.465,12.6,34.5,0.365,15.6,19.5,0.802,9.8,34.7,44.5,26.3,12.8,8.6,5.3,3.9,20.4,19.5,112.4,39.5,88.1,0.448,11.5,33.5,0.344,17.4,22.8,0.764,10.4,35.5,45.9,23.7,15.1,6.8,3.9,5.3,19.5,20.4,108.0
0.232,38.9,87.6,0.444,10.3,29.1,0.355,16.4,20.7,0.792,10.7,31.9,42.7,20.7,13.5,6.5,2.4,5.6,20.0,19.4,104.5,43.2,87.2,0.495,12.0,31.6,0.38,15.8,20.5,0.77,9.5,34.6,44.1,25.7,12.5,6.9,5.6,2.4,19.4,20.0,114.1
0.402,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.761,11.1,36.2,47.3,27.0,14.8,7.4,5.4,5.4,21.1,21.0,115.4,43.3,92.8,0.466,12.3,33.7,0.364,17.9,23.5,0.764,11.0,34.8,45.8,26.5,13.6,8.6,5.4,5.4,21.0,21.1,116.8
0.268,39.8,87.9,0.453,9.1,25.9,0.351,16.2,20.7,0.783,8.8,34.1,42.9,21.9,14.1,7.4,4.3,5.8,20.3,18.7,104.9,42.2,89.2,0.473,12.1,33.0,0.365,16.8,22.0,0.763,10.0,36.4,46.4,25.5,13.3,7.3,5.8,4.3,18.7,20.3,113.4
0.402,38.8,86.9,0.447,12.5,36.6,0.34,18.8,25.3,0.742,10.1,35.2,45.3,23.4,14.2,6.5,4.3,4.5,20.1,23.2,108.9,40.9,89.2,0.459,11.2,32.5,0.344,17.1,22.0,0.777,10.2,34.6,44.8,24.5,13.0,7.8,4.5,4.3,23.2,20.1,110.1
0.659,41.9,90.0,0.466,11.0,31.4,0.351,15.8,20.9,0.755,11.9,34.5,46.4,27.4,13.4,7.7,4.4,5.0,20.0,20.4,110.7,39.6,86.4,0.458,10.8,31.9,0.339,16.7,22.2,0.753,9.7,32.7,42.5,24.6,13.5,7.4,5.0,4.4,20.4,20.0,106.7
0.695,44.0,89.8,0.491,13.3,34.4,0.385,16.3,20.4,0.801,9.7,36.5,46.2,29.4,14.3,7.6,6.4,3.6,21.4,19.5,117.7,40.4,91.1,0.444,11.6,33.6,0.347,18.7,24.2,0.773,10.8,33.5,44.3,24.3,13.5,7.7,3.6,6.4,19.5,21.4,111.2
0.646,39.2,87.4,0.449,16.1,45.4,0.356,19.3,24.4,0.791,10.2,31.9,42.1,21.2,13.3,8.5,4.9,4.5,22.0,20.0,113.9,40.4,86.7,0.466,10.1,29.8,0.34,18.2,23.7,0.768,11.0,34.5,45.4,23.5,15.0,7.4,4.5,4.9,20.0,22.0,109.1
0.585,41.3,87.5,0.471,10.0,25.8,0.388,22.6,28.5,0.792,9.7,35.8,45.5,24.0,14.5,6.8,4.7,6.1,23.3,24.0,115.1,41.7,91.3,0.457,10.4,30.2,0.343,20.5,26.3,0.777,11.3,34.5,45.7,24.1,13.2,8.3,6.1,4.7,24.0,23.3,114.3
0.451,42.6,90.5,0.47,10.3,31.0,0.333,16.3,23.3,0.699,10.2,36.4,46.6,25.6,15.7,7.5,5.4,5.1,20.7,20.8,111.8,41.9,92.8,0.452,11.8,34.0,0.349,17.8,22.7,0.784,11.3,35.6,46.9,25.0,14.2,8.3,5.1,5.4,20.8,20.7,113.5
0.476,39.6,88.0,0.45,11.3,32.4,0.349,15.1,21.7,0.695,11.2,35.1,46.3,24.3,14.7,7.6,5.5,4.7,20.9,20.1,105.7,38.3,86.8,0.441,11.9,33.1,0.358,17.5,22.7,0.769,10.1,34.0,44.2,23.3,14.1,7.5,4.7,5.5,20.1,20.9,105.9
